iter	Passed	Remaining
478	622	676
479	623	675
480	624	673
481	625	671
482	626	670
483	627	668
484	627	666
485	628	665
486	629	663
487	631	662
488	631	660
489	632	658
490	633	656
491	634	655
492	635	653
493	636	652
494	637	650
495	638	649
496	639	647
497	640	646
498	641	644
499	642	642
500	643	641
501	644	639
502	645	638
503	646	636
504	647	634
505	648	633
506	649	631
507	650	630
508	651	628
509	652	627
510	653	625
511	654	624
512	655	622
513	656	620
514	657	619
515	658	617
516	659	616
517	660	614
518	661	613
519	662	611
520	663	610
521	664	608
522	665	606
523	666	605
524	667	603
525	668	602
526	669	600
527	670	599
528	671	597
529	672	596
530	673	594
531	674	593
532	675	591
533	676	590
534	677	588
535	678	587
536	679	585
537	680	584
538	681	582
539	682	581
540	683	579
541	684	578
542	685	576
543	686	575
544	687	573
545	688	572
546	689	570
547	690	569
548	691	567
549	692	566
550	693	564
551	694	563
552	695	561
553	695	560
554	696	558
555	697	557
556	698	555
557	699	554
558	700	552
559	701	551
560	702	549
561	703	548
562	704	546
563	705	545
564	706	543
565	707	542
566	708	540
567	709	539
568	710	537
569	710	536
570	711	534
571	712	533
572	713	531
573	714	530
574	715	529
575	716	527
576	717	526
577	718	524
578	719	523
579	720	521
580	721	520
581	722	519
582	723	517
583	724	516
584	725	514
585	726	513
586	727	511
587	728	510
588	729	508
589	730	507
590	731	505
591	731	504
592	732	502
593	733	501
594	734	499
595	735	498
596	736	496
597	737	495
598	737	493
599	738	492
600	739	491
601	740	489
602	741	488
603	742	486
604	743	485
605	744	484
606	745	482
607	746	481
608	747	479
609	748	478
610	748	476
611	749	475
612	750	473
613	751	472
614	752	471
615	753	469
616	754	468
617	755	466
618	756	465
619	756	463
620	757	462
621	759	461
622	760	459
623	761	458
624	761	457
625	762	455
626	763	454
627	764	452
628	765	451
629	766	450
630	767	448
631	768	447
632	768	445
633	769	444
634	770	442
635	771	441
636	772	440
637	773	438
638	773	437
639	775	435
640	775	434
641	776	433
642	777	431
643	778	430
644	779	428
645	780	427
646	780	426
647	781	424
648	782	423
649	783	422
650	784	420
651	785	419
652	786	417
653	787	416
654	788	415
655	788	413
656	789	412
657	790	411
658	791	409
659	792	408
660	793	406
661	794	405
662	795	404
663	796	402
664	796	401
665	798	400
666	799	398
667	799	397
668	800	396
669	801	394
670	802	393
671	804	392
672	805	391
673	806	390
674	807	388
675	808	387
676	809	386
677	810	384
678	810	383
679	811	382
680	812	380
681	813	379
682	814	378
683	815	376
684	816	375
685	817	374
686	818	372
687	818	371
688	819	370
689	820	368
690	821	367
691	822	366
692	823	365
693	824	363
694	825	362
695	826	361
696	827	359
697	828	358
698	829	357
699	830	355
700	831	354
701	832	353
702	833	351
703	833	350
704	835	349
705	836	348
706	836	346
707	837	345
708	838	344
709	839	342
710	840	341
711	841	340
712	842	338
713	843	337
714	844	336
715	845	335
716	845	333
717	846	332
718	847	331
719	848	329
720	849	328
721	850	327
722	851	326
723	852	324
724	853	323
725	854	322
726	854	321
727	855	319
728	856	318
729	857	317
730	858	315
731	859	314
732	860	313
733	861	312
734	861	310
735	862	309
736	863	308
737	864	306
738	865	305
739	866	304
740	867	303
741	868	301
742	869	300
743	870	299
744	871	298
745	872	296
746	873	295
747	874	294
748	874	293
749	875	291
750	876	290
751	877	289
752	878	288
753	878	286
754	879	285
755	881	284
756	882	283
757	883	281
758	884	280
759	885	279
760	885	278
761	886	276
762	887	275
763	888	274
764	889	273
765	890	272
766	891	270
767	892	269
768	892	268
769	893	266
770	894	265
771	895	264
772	897	263
773	898	262
774	899	261
775	899	259
776	900	258
777	901	257
778	902	256
779	903	254
780	904	253
781	905	252
782	906	251
783	907	249
784	908	248
785	908	247
786	909	246
787	910	245
788	911	243
789	912	242
790	913	241
791	914	240
792	915	238
793	916	237
794	917	236
795	918	235
796	919	234
797	920	232
798	921	231
799	921	230
800	922	229
801	923	228
802	924	226
803	925	225
804	927	224
805	928	223
806	929	222
807	930	221
808	931	219
809	932	218
810	933	217
811	934	216
812	935	215
813	936	213
814	937	212
815	938	211
816	939	210
817	940	209
818	941	207
819	942	206
820	943	205
821	944	204
822	945	203
823	946	202
824	947	200
825	948	199
826	949	198
827	950	197
828	951	196
829	952	195
830	953	193
831	954	192
832	955	191
833	955	190
834	956	189
835	957	187
836	958	186
837	959	185
838	960	184
839	961	183
840	962	182
841	964	180
842	965	179
843	966	178
844	967	177
845	968	176
846	969	175
847	970	173
848	971	172
849	972	171
850	974	170
851	975	169
852	976	168
853	977	167
854	978	165
855	979	164
856	980	163
857	981	162
858	982	161
859	983	160
860	984	158
861	985	157
862	986	156
863	987	155
864	989	154
865	990	153
866	991	152
867	992	150
868	993	149
869	994	148
870	995	147
871	996	146
872	997	145
873	998	143
874	999	142
875	1000	141
876	1001	140
877	1003	139
878	1004	138
879	1005	137
880	1006	135
881	1006	134
882	1008	133
883	1008	132
884	1009	131
885	1010	130
886	1011	128
887	1012	127
888	1013	126
889	1014	125
890	1015	124
891	1016	123
892	1017	121
893	1019	120
894	1020	119
895	1021	118
896	1022	117
897	1023	116
898	1024	115
899	1025	113
900	1026	112
901	1027	111
902	1028	110
903	1029	109
904	1030	108
905	1031	106
906	1032	105
907	1033	104
908	1034	103
909	1035	102
910	1036	101
911	1037	100
912	1038	98
913	1039	97
914	1040	96
915	1041	95
916	1042	94
917	1043	93
918	1044	92
919	1045	90
920	1046	89
921	1047	88
922	1048	87
923	1049	86
924	1050	85
925	1051	83
926	1052	82
927	1053	81
928	1053	80
929	1055	79
930	1056	78
931	1057	77
932	1058	76
933	1059	74
934	1060	73
935	1061	72
936	1062	71
937	1063	70
938	1065	69
939	1066	68
940	1067	66
941	1068	65
942	1069	64
943	1070	63
944	1071	62
945	1072	61
946	1073	60
947	1074	58
948	1075	57
949	1075	56
950	1076	55
951	1077	54
952	1078	53
953	1079	52
954	1081	50
955	1082	49
956	1082	48
957	1083	47
958	1084	46
959	1085	45
960	1086	44
961	1087	42
962	1088	41
963	1089	40
964	1090	39
965	1091	38
966	1092	37
967	1093	36
968	1094	35
969	1095	33
970	1096	32
971	1097	31
972	1098	30
973	1099	29
974	1100	28
975	1101	27
976	1102	25
977	1103	24
978	1104	23
979	1105	22
980	1106	21
981	1107	20
982	1108	19
